name, description, url
New Haven Correctional Center, Connecticut state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ANew%20Haven%20Correctional%20Center
Resolution Copper Mine, copper mine, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AResolution%20Copper%20Mine
Rocky-Beaver Lake Mine, copper mine, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ARocky-Beaver%20Lake%20Mine%0A
Eagle Project Mine, copper mine, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AEagle%20Project%20Mine
Northmet Mine, copper mine, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ANorthmet%20Mine
Delores J. Baylor Women's Correctional Institution, Delaware state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=Delores%20J.%20Baylor%20Women's%20Correctional%20Institution
Wakulla Correctional Institution Annex, Florida state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AWakulla%20Correctional%20Institution%20Annex
Avon Park Correctional Institution, Florida state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AAvon%20Park%20Correctional%20Institution
Cross City East Unit, Florida state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ACross%20City%20East%20Unit
Hernando Correctional Institution, Florida state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AHernando%20Correctional%20Institution
Columbia Correctional Institution Annex, Florida state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AColumbia%20Correctional%20Institution%20Annex
Lancaster Correctional Institution, Florida state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ALancaster%20Correctional%20Institution
Gulf Correctional Institution Annex, Florida state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AGulf%20Correctional%20Institution%20Annex
Homestead Correctional Institution, Florida state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AHomestead%20Correctional%20Institution
Putnam Correctional Institution, Florida state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0APutnam%20Correctional%20Institution
Quincy Annex, Florida state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AQuincy%20Annex
Okaloosa Correctional Institution, Florida state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AOkaloosa%20Correctional%20Institution
Zephyrhills Correctional Institution, Florida state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AZephyrhills%20Correctional%20Institution%0A
Suwannee Correctional Institution Annex, Florida state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ASuwannee%20Correctional%20Institution%20Annex
Pennsylvania Avenue Landfill, former landfill, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0APennsylvania%20Avenue%20Landfill
Fountain Avenue Landfill, former landfill, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AFountain%20Avenue%20Landfill
Thomas County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AThomas%20County%20Correctional%20Institution
Mitchell County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AMitchell%20County%20Correctional%20Institution
Atlanta Male Transitional Center, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AAtlanta%20Male%20Transitional%20Center
Carroll County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ACarroll%20County%20Correctional%20Institution
Floyd County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AFloyd%20County%20Correctional%20Institution
Coweta County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ACoweta%20County%20Correctional%20Institution
Augusta Transitional Center, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AAugusta%20Transitional%20Center
Decatur County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ADecatur%20County%20Correctional%20Institution
Effingham County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AEffingham%20County%20Correctional%20Institution
Emanuel Women's Facility, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AEmanuel%20Women's%20Facility
Lee State Prison, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ALee%20State%20Prison
Jefferson County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AJefferson%20County%20Correctional%20Institution
Hall County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AHall%20County%20Correctional%20Institution
Gwinnett County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AGwinnett%20County%20Correctional%20Institution
Troup County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ATroup%20County%20Correctional%20Institution
Harris County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AHarris%20County%20Correctional%20Institution
Richmond County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ARichmond%20County%20Correctional%20Institution
Muscogee County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AMuscogee%20County%20Correctional%20Institution
Macon Male Transitional Center, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AMacon%20Male%20Transitional%20Center
Metro Women's Transitional Center, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AMetro%20Women's%20Transitional%20Center
LaGrange (Charles D. Hudson) Transitional Center, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ALaGrange%20%20Transitional%20Center
Montgomery State Prison, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AMontgomery%20State%20Prison
Terrell County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ATerrell%20County%20Correctional%20Institution
Screven County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AScreven%20County%20Correctional%20Institution
Rutledge State Prison, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ARutledge%20State%20Prison
Spaulding County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ASpaulding%20County%20Correctional%20Institution
Whitworth Pre-Parole Center, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AWhitworth%20Pre-Parole%20Center
Sumter County Correctional Institution, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ASumter%20County%20Correctional%20Institution
Walker State Prison, Georgia state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AWalker%20State%20Prison
Haile Gold Mine (South Carolina), gold mine, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AHaile%20Gold%20Mine%20
Kulani Correctional Facility - Hilo, Hawaii state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AKulani%20Correctional%20Facility%20-%20HiloHalawa Correctional Facility - Aiea, Hawaii state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=Halawa%20Correctional%20Facility%20-%20Aiea
Waiawa Correctional Facility - Waipahu, Hawaii state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AWaiawa%20Correctional%20Facility%20-%20Waipahu
Women's Community Correctional Center - Kailua, Hawaii state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AWomen's%20Community%20Correctional%20Center%20-%20Kailua%0A

Central Arizona Correctional Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ACentral%20Arizona%20Correctional%20Center
Santa Ana City Jail, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ASanta%20Ana%20City%20Jail
Adelanto Detention Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AAdelanto%20Detention%20FacilityEtowah County Detention Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=Etowah%20County%20Detention%20Center
Krome Service Processing Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AKrome%20Service%20Processing%20Center
Yuba County Jail, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AYuba%20County%20Jail
Pine Prairie Correctional Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0APine%20Prairie%20Correctional%20Center
Contra Costa West County Detention Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AContra%20Costa%20West%20County%20Detention%20Facility
Wakulla County Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AWakulla%20County%20Facility
Hardin County Correctional Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AHardin%20County%20Correctional%20Center
Glades County Detention Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AGlades%20County%20Detention%20Center
Baker County Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ABaker%20County%20Facility
Hall County Department of Corrections, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AHall%20County%20Department%20of%20Corrections
McHenry County Adult Correctional Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AMcHenry%20County%20Adult%20Correctional%20Facility
